brand,model_year,fuel_type,transmission,ext_col,accident,Country_of_Origin,Engine_CC,Mileage_KM,Price_USD,base_model
Ford,2013,Flex Fuel,Automatic,Black,Accident Reported,USA,3700.0,82076,10300.0,Utility Police
Hyundai,2021,Gasoline,Automatic,Other,Accident Reported,South Korea,3800.0,55912,38005.0,Palisade
Lexus,2022,Gasoline,Automatic,Blue,Clean,Japan,3500.0,36004,54598.0,Rx 350
Infiniti,2015,Hybrid,Automatic,Black,Clean,Japan,3500.0,143070,15500.0,Q50 Hybrid
Audi,2021,Gasoline,Automatic,Other,Clean,Germany,2000.0,15828,34999.0,Q3 45
Acura,2016,Gasoline,Automatic,Silver,Clean,Japan,2400.0,219509,14798.0,Ilx 2.4L
Audi,2017,Gasoline,Automatic,Blue,Clean,Germany,2000.0,135185,31000.0,S3
BMW,2001,Gasoline,Automatic,Green,Clean,Germany,4400.0,389460,7300.0,740 Il
Lexus,2021,Gasoline,Automatic,Black,Clean,Japan,3500.0,37716,41927.0,Rc 350
Toyota,2021,Gasoline,Automatic,Yellow,Clean,Japan,3000.0,20117,53500.0,Supra 3.0
Lincoln,2022,Gasoline,Automatic,Black,Clean,USA,3000.0,29284,62000.0,Aviator Reserve
Jaguar,2020,Gasoline,Automatic,Silver,Clean,UK,2000.0,25593,47998.0,F-Type
Land,2013,Gasoline,Automatic,White,Clean,UK,5000.0,128425,29990.0,Rover Lr4
Dodge,2013,Gasoline,Automatic,Black,Clean,USA,3600.0,98289,16800.0,Challenger Sxt
Nissan,2003,Gasoline,Manual,Purple,Clean,Japan,3500.0,119091,11000.0,350Z Enthusiast
Jaguar,2018,Gasoline,Automatic,Green,Clean,UK,5000.0,56729,68750.0,F-Type R
Chevrolet,2000,Flex Fuel,Automatic,Blue,Clean,USA,2200.0,214863,4500.0,S-10 Ls
BMW,2020,Gasoline,Automatic,White,Clean,Germany,3000.0,41827,38598.0,440 Gran
Ford,2023,Gasoline,Automatic,Silver,Clean,USA,3500.0,4543,58504.0,F-150 Xlt
Chevrolet,2021,Gasoline,Automatic,Blue,Clean,USA,5300.0,83686,61000.0,Suburban Rst
Hyundai,2022,Gasoline,Automatic,Black,Clean,South Korea,2000.0,18749,32300.0,Elantra N
Nissan,2016,Gasoline,Automatic,Blue,Clean,Japan,1800.0,155367,13998.0,Sentra Sr
Mercedes-Benz,2021,Gasoline,Automatic,Gray,Clean,Germany,2000.0,28163,59995.0,Amg Cla
BMW,2015,Gasoline,Automatic,Gray,Clean,Germany,4400.0,111044,25700.0,650 Gran
Audi,2017,Flex Fuel,Automatic,Black,Clean,Germany,2000.0,131773,21375.0,Q5
Mercedes-Benz,2018,Gasoline,Automatic,Silver,Clean,Germany,3000.0,46349,48000.0,Amg C
Dodge,2006,Gasoline,Automatic,Silver,Accident Reported,USA,5700.0,483097,10900.0,Ram 1500
Kia,2011,Gasoline,Automatic,Black,Clean,South Korea,3500.0,275197,5999.0,Sorento Sx
Lexus,2016,Gasoline,Automatic,Black,Clean,Japan,5700.0,191029,46900.0,Lx 570
Jeep,2017,Gasoline,Automatic,Red,Clean,USA,2400.0,191511,15900.0,New Compass
BMW,2018,Gasoline,Automatic,Gray,Clean,Germany,3000.0,71231,33598.0,340 I
Audi,2012,Gasoline,Automatic,Silver,Clean,Germany,2000.0,202093,8999.0,A4 Quattro
Hyundai,2007,Gasoline,Automatic,Gold,Clean,South Korea,2700.0,26071,8200.0,Tucson
BMW,2014,Gasoline,Automatic,White,Accident Reported,Germany,2000.0,112654,20000.0,Z4 Sdrive28I
Bentley,2011,Flex Fuel,Automatic,Black,Clean,UK,6000.0,32509,79950.0,Continental Gtc
Honda,2023,Gasoline,Automatic,Silver,Clean,Japan,3500.0,4793,45498.0,Passport Elite
Dodge,2007,Diesel,Automatic,White,Accident Reported,USA,3000.0,305322,14000.0,Sprinter 2500
BMW,2019,Gasoline,Automatic,Blue,Clean,Germany,4400.0,16011,75798.0,M850 I
Audi,2012,Gasoline,Automatic,Black,Accident Reported,Germany,3000.0,86904,36880.0,A7
Chevrolet,2021,Gasoline,Automatic,Black,Clean,USA,5300.0,82641,43147.0,Silverado 1500
MINI,2017,Gasoline,Automatic,Black,Accident Reported,UK,2000.0,39075,29000.0,Convertible John
Toyota,2016,Gasoline,Automatic,Black,Clean,Japan,3500.0,143469,17500.0,Avalon Touring
Porsche,2017,Gasoline,Automatic,White,Clean,Germany,3600.0,117551,30990.0,Cayenne Platinum
Mercedes-Benz,2017,Gasoline,Automatic,Gray,Accident Reported,Germany,4000.0,96560,52500.0,Amg C
Honda,2016,Gasoline,Automatic,Other,Accident Reported,Japan,2400.0,118365,20848.0,Cr-V Ex-L
Hummer,2005,Gasoline,Automatic,Gray,Clean,USA,6000.0,178476,19500.0,H2
Porsche,2013,Gasoline,Automatic,Blue,Clean,Germany,3800.0,62764,73000.0,911 Carrera
Mercedes-Benz,2016,Gasoline,Automatic,Black,Clean,Germany,2000.0,193121,19800.0,Cla-Class Cla
Chrysler,2009,Gasoline,Automatic,Blue,Clean,USA,3500.0,216620,7500.0,300 Touring
Nissan,2023,Gasoline,Automatic,Other,Clean,Japan,1500.0,1761,30999.0,Rogue Sv
Audi,2010,Gasoline,Automatic,Silver,Clean,Germany,2000.0,134380,6500.0,A3
Ford,2014,Gasoline,Manual,Black,Clean,USA,5000.0,59642,28500.0,Mustang Gt
Acura,2010,Gasoline,Automatic,Blue,Clean,Japan,3700.0,157233,10995.0,Rl Technology
Volvo,2018,Plug-In Hybrid,Automatic,Black,Clean,Sweden,2000.0,64374,42000.0,Xc90 Hybrid
Mercedes-Benz,2014,Gasoline,Automatic,Black,Accident Reported,Germany,3500.0,299337,10000.0,Glk-Class Glk
Toyota,2021,Gasoline,Automatic,Other,Clean,Japan,2000.0,21211,23998.0,C-Hr
Lexus,2014,Gasoline,Automatic,Black,Clean,Japan,3500.0,167371,21000.0,Is 350
BMW,2023,Hybrid,Automatic,Gray,Clean,Germany,3000.0,13679,67900.0,X4 M40I
BMW,2019,Gasoline,Automatic,White,Clean,Germany,3000.0,30689,69998.0,M4 Cs
Cadillac,2023,Gasoline,Automatic,White,Clean,USA,2000.0,9801,46900.0,Ct5 Luxury
Audi,2019,Gasoline,Automatic,Black,Clean,Germany,2000.0,76481,31000.0,A5
Chrysler,2006,Gasoline,Automatic,Silver,Accident Reported,USA,6100.0,69202,19995.0,300C Srt8
BMW,2019,Gasoline,Automatic,Black,Clean,Germany,3000.0,93020,55999.0,M4
Toyota,2023,Gasoline,Manual,Silver,Clean,Japan,1600.0,1532,49950.0,Gr Corolla
Audi,2019,Gasoline,Automatic,Black,Accident Reported,Germany,2900.0,34182,59950.0,Rs 5
Porsche,2019,Gasoline,Automatic,Black,Clean,Germany,3000.0,95495,42499.0,Cayenne
Maserati,2019,Gasoline,Automatic,Black,Clean,Italy,3000.0,37385,44999.0,Quattroporte S
Jaguar,2017,Gasoline,Automatic,Red,Accident Reported,UK,3000.0,77248,30000.0,Xf 35T
Lexus,2005,Gasoline,Automatic,White,Clean,Japan,3300.0,66078,11100.0,Es 330
Land,2020,Gasoline,Automatic,White,Clean,UK,2000.0,34182,37998.0,Rover Discovery
Porsche,2015,Gasoline,Automatic,Silver,Clean,Germany,3400.0,18507,72000.0,Cayman Gts
Genesis,2021,Gasoline,Automatic,Silver,Clean,South Korea,3300.0,16013,53950.0,G90 3.3T
Volkswagen,2023,Gasoline,Manual,White,Clean,Germany,2000.0,1019,47999.0,Golf R
Hyundai,2015,Hybrid,Automatic,White,Accident Reported,South Korea,2400.0,106216,15900.0,Sonata Hybrid
Audi,2014,Gasoline,Automatic,Gray,Accident Reported,Germany,4000.0,96102,45000.0,Rs 7
BMW,2012,Gasoline,Automatic,Black,Clean,Germany,3000.0,137199,18500.0,740 Li
Mercedes-Benz,2020,Hybrid,Automatic,Black,Accident Reported,Germany,3000.0,28807,80000.0,Gls 450
BMW,2016,Gasoline,Automatic,White,Clean,Germany,4400.0,41038,55000.0,M6
Hyundai,2023,Gasoline,Manual,White,Clean,South Korea,2000.0,6115,34000.0,Elantra N
Kia,2022,Hybrid,Automatic,Other,Clean,South Korea,1600.0,58905,31995.0,Niro Plug-In
Mercedes-Benz,2018,Gasoline,Automatic,Red,Accident Reported,Germany,2000.0,53108,29900.0,Slc 300
BMW,2016,Gasoline,Automatic,White,Clean,Germany,3000.0,122324,24950.0,435 Gran
Jeep,2020,Gasoline,Automatic,Gray,Clean,USA,5700.0,50451,39366.0,Grand Cherokee
Lexus,2015,Gasoline,Automatic,Orange,Clean,Japan,3500.0,77248,32900.0,Rc 350
BMW,2005,Gasoline,Automatic,Black,Clean,Germany,2500.0,147126,8900.0,525 I
Toyota,2003,Gasoline,Manual,Beige,Accident Reported,Japan,1800.0,200775,4995.0,Corolla
GMC,2012,Gasoline,Automatic,Black,Clean,USA,3600.0,187047,7900.0,Acadia Slt-1
Lexus,2020,Gasoline,Automatic,Silver,Clean,Japan,5000.0,60944,75950.0,Lc 500
BMW,2019,Plug-In Hybrid,Automatic,White,Clean,Germany,1500.0,66788,86000.0,I8
Lexus,2013,Hybrid,Automatic,Gold,Clean,Japan,2500.0,140014,17995.0,Es 300H
Cadillac,2022,Gasoline,Automatic,White,Accident Reported,USA,3000.0,7163,55655.0,Ct5-V-Series
BMW,2020,Gasoline,Automatic,Blue,Clean,Germany,2000.0,43706,39998.0,540 I
Chevrolet,2014,Gasoline,Automatic,White,Accident Reported,USA,4300.0,224992,14500.0,Express 1500
Jeep,2022,Gasoline,Automatic,Green,Clean,USA,3600.0,43935,47500.0,Gladiator Rubicon
BMW,2014,Gasoline,Automatic,White,Clean,Germany,2000.0,59243,27000.0,Z4 Sdrive28I
Land,2016,Gasoline,Automatic,Black,Accident Reported,UK,3000.0,231745,18000.0,Rover Lr4
Cadillac,2019,Gasoline,Automatic,Blue,Clean,USA,2000.0,71616,28900.0,Xt4
BMW,2021,Gasoline,Automatic,Black,Clean,Germany,4400.0,17569,73998.0,750 750I
Bentley,2005,Gasoline,Automatic,White,Clean,UK,6750.0,13409,47350.0,Arnage R
Lincoln,2020,Gasoline,Automatic,Other,Clean,USA,3000.0,82474,47698.0,Aviator Reserve
Mercedes-Benz,2016,Gasoline,Automatic,Black,Clean,Germany,5500.0,111044,36500.0,Amg Gl
RAM,2021,Gasoline,Automatic,White,Clean,USA,3600.0,237915,32662.0,Promaster 3500
Ford,2013,Flex Fuel,Automatic,White,Accident Reported,USA,3700.0,168981,6600.0,Utility Police
Audi,2011,Gasoline,Automatic,Red,Clean,Germany,2000.0,148386,9995.0,A5
Nissan,2010,Gasoline,Automatic,White,Clean,Japan,3800.0,25106,69500.0,Gt-R
Toyota,2010,Gasoline,Automatic,Red,Accident Reported,Japan,1800.0,116433,9995.0,Corolla
Mercedes-Benz,2022,Gasoline,Automatic,White,Clean,Germany,2000.0,21206,44798.0,C-Class C300
Porsche,2016,Plug-In Hybrid,Automatic,White,Accident Reported,Germany,3000.0,154497,23000.0,Cayenne E-Hybrid
Chevrolet,2011,Flex Fuel,Automatic,White,Clean,USA,5300.0,149683,22495.0,Express 1500
Infiniti,2016,Hybrid,Automatic,White,Accident Reported,Japan,3500.0,84893,28998.0,Q70H
Audi,2020,Hybrid,Automatic,Other,Clean,Germany,3000.0,40814,49998.0,A7
BMW,2015,Gasoline,Automatic,Black,Clean,Germany,4400.0,65983,30000.0,650 Gran
Subaru,2021,Gasoline,Automatic,Black,Clean,Japan,2500.0,67793,27899.0,Forester
